"TIMESTAMP_START","TIMESTAMP_END","DO","TW","COND_WATER","WTD","ALB_1_1_2","NETRAD_1_1_2","SW_IN_1_1_2","SW_OUT_1_1_2","LW_IN_1_1_2","LW_OUT_1_1_2","T_CANOPY","SW_IN_1_1_3","VWC_3_1_1","Ka_3_1_1","TS_3_1_1","BulkEC_3_1_1","VWC_3_2_1","Ka_3_2_1","TS_3_2_1","BulkEC_3_2_1","VWC_3_3_1","Ka_3_3_1","TS_3_3_1","BulkEC_3_3_1","VWC_3_4_1","Ka_3_4_1","TS_3_4_1","BulkEC_3_4_1","VWC_3_5_1","Ka_3_5_1","TS_3_5_1","BulkEC_3_5_1","VWC_3_6_1","Ka_3_6_1","TS_3_6_1","BulkEC_3_6_1","VWC_3_7_1","Ka_3_7_1","TS_3_7_1","BulkEC_3_7_1","VWC_3_8_1","Ka_3_8_1","TS_3_8_1","BulkEC_3_8_1","VWC_3_9_1","Ka_3_9_1","TS_3_9_1","BulkEC_3_9_1","G_3_1_1","TA_1_3_1","RH_1_3_1","LE_1_1_2","H_1_1_2","VPD_1_1_2","PA_1_1_2","TA_1_1_2","RH_1_1_2"
"NAN","NAN",-0.5259256,-0.102843,15764.22,-0.1766255,"NAN","NAN",0,0,0,0,12.68422,-10.25111,0,0.8403899,10.75659,0,0.053113,4.046283,10.07412,0.1614345,0.9745129,78.80638,11.06774,1.878738,0.6008797,43.33594,9.681854,1.137824,0.5637425,40.38555,8.41513,2.143708,0.5058231,35.87601,7.634643,2.888506,0.6484697,47.26879,6.884613,5.820137,0.8943166,70.30574,6.286712,8.768869,1.530718,151.1098,5.816253,8.623933,3.975852,12.617,57.814,10.4,-50.7,0.75,86.62,13.4,51.49
"NAN","NAN",-0.5270867,-0.103091,15762.27,-0.1750043,"NAN","NAN",0,0,0,0,11.79415,-9.973538,0,0.8529159,10.22744,0,0.055619,4.135361,9.790527,0.1604373,0.9726571,78.60421,11.02319,1.887138,0.5992317,43.20281,9.72528,1.125133,0.5665477,40.60478,8.436402,2.155647,0.5066398,35.96203,7.634643,2.886741,0.6460583,47.06539,6.884613,5.858905,0.8997234,70.8636,6.286712,8.777795,1.522536,149.8771,5.836639,8.589738,4.202566,10.815,68.838,30.9,-77.4,0.6,86.68,12.21,58.22
"NAN","NAN",-0.5210576,-0.101932,15762.1,-0.1860353,"NAN","NAN",0,0,0,0,10.37597,-11.03794,0,0.8942958,9.465118,0,0.0615124,4.348668,9.33551,0.1654548,0.97931,79.33027,10.95642,1.883609,0.6063359,43.77817,9.703582,1.130371,0.5656307,40.53305,8.457611,2.150144,0.5020782,35.48286,7.655609,2.899161,0.6526027,47.61839,6.905334,5.79952,0.8982525,70.71162,6.266174,8.771826,1.528871,150.831,5.816253,8.621544,2.699057,10.574,66.37,12,-63.9,0.5,86.73,11.1,62.9
"NAN","NAN",-0.5413782,-0.105919,15771.89,-0.181228,"NAN","NAN",0,0,0,0,10.35576,-10.58381,0,0.8683527,9.077149,0,0.0563767,4.162486,9.012756,0.1605842,0.9775538,79.13826,10.8897,1.888319,0.6065264,43.79365,9.768768,1.141284,0.5676425,40.6905,8.478881,2.142735,0.5023447,35.51079,7.655609,2.895895,0.6510496,47.48687,6.905334,5.807542,0.8899152,69.85324,6.286712,8.773732,1.528105,150.7155,5.836639,8.627074,0.8202394,10.166,66.727,8.6,-43.3,0.54,86.77,11.05,59.89
"NAN","NAN",-0.532848,-0.104276,15769.21,-0.179091,"NAN","NAN",0,0,0,0,10.08096,-9.913899,0,0.9372731,8.862762,0,0.05756,4.205024,8.862762,0.163875,0.9836586,79.80662,10.82312,1.897788,0.6097853,44.05891,9.812286,1.157188,0.5658001,40.5463,8.478881,2.158359,0.5059224,35.88646,7.655609,2.893388,0.6519882,47.56633,6.905334,5.835269,0.9049143,71.40127,6.286712,8.770523,1.524895,150.2321,5.836639,8.629303,0.3967988,10.347,63.077,8.1,-27,0.56,86.76,10.96,58.19
"NAN","NAN",-0.5349917,-0.104724,15764.6,-0.1783373,"NAN","NAN",0,0,0,0,10.13313,-10.30717,0,0.935833,8.649169,0,0.058178,4.227323,8.862762,0.1673883,0.9859949,80.06317,10.77874,1.885715,0.6096846,44.0507,9.812286,1.152203,0.5706875,40.92939,8.521423,2.155268,0.5070386,36.00407,7.676574,2.895232,0.6486338,47.28264,6.926055,5.781053,0.8926502,70.13425,6.307251,8.715748,1.53038,151.0587,5.836639,8.651245,-0.02284004,10.366,59.389,3.2,-16.8,0.61,86.73,11.12,54.31
"NAN","NAN",-0.5475414,-0.107216,15770.36,-0.1797266,"NAN","NAN",0,0,0,0,9.435098,-12.1223,0,0.8217579,7.321044,0,0.0577539,4.212013,8.37268,0.1665774,0.9792354,79.32212,10.71228,1.89369,0.609641,44.04714,9.790527,1.156993,0.5615047,40.21109,8.542662,2.145289,0.5061163,35.90687,7.676574,2.896792,0.64816,47.24264,6.926055,5.800899,0.8863542,69.48822,6.286712,8.767943,1.529189,150.8791,5.836639,8.631611,-1.437006,8.438,65.935,0.9,-8.1,0.56,86.71,10.14,55.33
"NAN","NAN",-0.5306596,-0.10393,15769.14,-0.1760632,"NAN","NAN",0,0,0,0,7.425218,-11.66495,0,0.8960139,5.999939,0,0.0556274,4.135663,7.718536,0.1652138,0.9814282,79.56211,10.69015,1.897203,0.6037344,43.56703,9.834046,1.14132,0.5667288,40.61895,8.521423,2.153963,0.5082803,36.13512,7.69754,2.896699,0.652545,47.61351,6.926055,5.817349,0.9130726,72.2504,6.327758,8.771298,1.521308,149.6926,5.836639,8.616566,-6.694558,7.269,77.592,1.4,-9.8,0.37,86.68,8.57,67.29
"NAN","NAN",-0.548524,-0.10743,15766.28,-0.1696294,"NAN","NAN",0,0,0,0,5.948493,-11.76018,0,0.7949116,4.623413,0,0.0548057,4.106346,6.967529,0.1634447,0.978227,79.21186,10.6238,1.898143,0.6026061,43.47562,9.855835,1.133686,0.5638222,40.39177,8.563964,2.156124,0.5055197,35.84407,7.718536,2.901182,0.6546053,47.78826,6.946777,5.840529,0.9121708,72.15627,6.327758,8.779154,1.519425,149.4097,5.836639,8.640286,-10.80955,6.75,80.296,0.3,-1.9,0.34,86.66,8.3,69.69
"NAN","NAN",-0.4983699,-0.09762,15778.29,-0.1862273,"NAN","NAN",0,0,0,0,4.816316,-11.47791,0,0.792906,3.706054,0,0.0559188,4.146083,6.368866,0.1680341,0.9808331,79.49694,10.55755,1.904637,0.5994763,43.22255,9.877655,1.11981,0.5644122,40.43784,8.585234,2.15106,0.5011476,35.38552,7.718536,2.908384,0.6471723,47.1593,6.946777,5.8641,0.889171,69.77688,6.286712,8.748629,1.521441,149.7126,5.836639,8.62775,-14.64597,5.568,81.355,-1.2,-17.4,0.28,86.66,7.36,73.63
