Month,Ensemble ET,eeMetric ET,SSEBop ET
4/14/2024 0:00,0.119,0.172,0.092
4/15/2024 0:00,0.05,0.066,0.037
4/16/2024 0:00,0.109,0.132,0.079
4/17/2024 0:00,0.099,0.11,0.07
4/18/2024 0:00,0.102,0.106,0.071
4/19/2024 0:00,0.12,0.116,0.081
4/20/2024 0:00,0.149,0.136,0.099
4/21/2024 0:00,0.207,0.185,0.135
4/22/2024 0:00,0.172,0.15,0.11
4/23/2024 0:00,0.15,0.129,0.094
4/24/2024 0:00,0.218,0.185,0.135
4/25/2024 0:00,0.146,0.121,0.088
4/26/2024 0:00,0.099,0.081,0.059
4/27/2024 0:00,0.068,0.055,0.04
4/28/2024 0:00,0.158,0.125,0.091
4/29/2024 0:00,0.191,0.153,0.111
4/30/2024 0:00,0.149,0.12,0.088
5/1/2024 0:00,0.126,0.103,0.076
5/2/2024 0:00,0.127,0.105,0.078
5/3/2024 0:00,0.125,0.104,0.077
5/4/2024 0:00,0.241,0.204,0.152
5/5/2024 0:00,0.117,0.1,0.074
5/6/2024 0:00,0.093,0.081,0.061
5/7/2024 0:00,0.105,0.092,0.069
5/8/2024 0:00,0.096,0.086,0.065
5/9/2024 0:00,0.133,0.12,0.091
5/10/2024 0:00,0.159,0.145,0.11
5/11/2024 0:00,0.165,0.153,0.117
5/12/2024 0:00,0.158,0.149,0.114
5/13/2024 0:00,0.166,0.159,0.122
5/14/2024 0:00,0.162,0.158,0.122
5/15/2024 0:00,0.156,0.15,0.117
5/16/2024 0:00,0.164,0.156,0.123
5/17/2024 0:00,0.209,0.196,0.157
5/18/2024 0:00,0.172,0.159,0.129
5/19/2024 0:00,0.187,0.171,0.14
5/20/2024 0:00,0.092,0.083,0.069
5/21/2024 0:00,0.151,0.134,0.113
5/22/2024 0:00,0.192,0.169,0.144
5/23/2024 0:00,0.138,0.12,0.104
5/24/2024 0:00,0.154,0.132,0.115
5/25/2024 0:00,0.108,0.092,0.081
5/26/2024 0:00,0.189,0.159,0.141
5/27/2024 0:00,0.191,0.159,0.143
5/28/2024 0:00,0.246,0.203,0.185
5/29/2024 0:00,0.239,0.194,0.179
5/30/2024 0:00,0.195,0.157,0.146
5/31/2024 0:00,0.186,0.153,0.142
6/1/2024 0:00,0.204,0.171,0.159
6/2/2024 0:00,0.177,0.151,0.14
6/3/2024 0:00,0.155,0.135,0.125
6/4/2024 0:00,0.193,0.172,0.159
6/5/2024 0:00,0.206,0.188,0.173
6/6/2024 0:00,0.193,0.18,0.166
6/7/2024 0:00,0.183,0.176,0.162
6/8/2024 0:00,0.194,0.198,0.176
6/9/2024 0:00,0.229,0.248,0.214
6/10/2024 0:00,0.209,0.238,0.2
6/11/2024 0:00,0.211,0.25,0.207
6/12/2024 0:00,0.268,0.333,0.269
6/13/2024 0:00,0.271,0.349,0.277
6/14/2024 0:00,0.283,0.379,0.296
6/15/2024 0:00,0.286,0.394,0.304
6/16/2024 0:00,0.187,0.264,0.202
6/17/2024 0:00,0.174,0.25,0.19
6/18/2024 0:00,0.161,0.236,0.179
6/19/2024 0:00,0.172,0.257,0.193
6/20/2024 0:00,0.221,0.337,0.251
6/21/2024 0:00,0.207,0.323,0.24
6/22/2024 0:00,0.235,0.374,0.276
6/23/2024 0:00,0.289,0.471,0.345
6/24/2024 0:00,0.261,0.416,0.306
6/25/2024 0:00,0.205,0.319,0.235
6/26/2024 0:00,0.245,0.373,0.277
6/27/2024 0:00,0.257,0.384,0.286
6/28/2024 0:00,0.218,0.318,0.238
6/29/2024 0:00,0.293,0.417,0.314
6/30/2024 0:00,0.342,0.478,0.362
7/1/2024 0:00,0.22,0.3,0.228
7/2/2024 0:00,0.209,0.279,0.213
7/3/2024 0:00,0.251,0.327,0.251
7/4/2024 0:00,0.226,0.289,0.224
7/5/2024 0:00,0.239,0.298,0.232
7/6/2024 0:00,0.296,0.361,0.282
7/7/2024 0:00,0.281,0.336,0.264
7/8/2024 0:00,0.243,0.284,0.224
7/9/2024 0:00,0.263,0.3,0.239
7/10/2024 0:00,0.276,0.316,0.253
7/11/2024 0:00,0.317,0.364,0.292
7/12/2024 0:00,0.268,0.308,0.249
7/13/2024 0:00,0.278,0.32,0.26
7/14/2024 0:00,0.308,0.356,0.29
7/15/2024 0:00,0.242,0.28,0.23
7/16/2024 0:00,0.224,0.26,0.214
7/17/2024 0:00,0.261,0.304,0.252
7/18/2024 0:00,0.26,0.304,0.252
7/19/2024 0:00,0.235,0.276,0.228
7/20/2024 0:00,0.265,0.313,0.258
7/21/2024 0:00,0.27,0.321,0.264
7/22/2024 0:00,0.242,0.289,0.238
7/23/2024 0:00,0.231,0.277,0.228
7/24/2024 0:00,0.256,0.31,0.254
7/25/2024 0:00,0.245,0.298,0.244
7/26/2024 0:00,0.245,0.292,0.244
7/27/2024 0:00,0.244,0.287,0.243
7/28/2024 0:00,0.22,0.255,0.22
7/29/2024 0:00,0.288,0.328,0.288
7/30/2024 0:00,0.284,0.318,0.284
7/31/2024 0:00,0.215,0.236,0.215
8/1/2024 0:00,0.219,0.236,0.219
8/2/2024 0:00,0.228,0.241,0.228
8/3/2024 0:00,0.251,0.279,0.258
8/4/2024 0:00,0.229,0.267,0.242
8/5/2024 0:00,0.201,0.246,0.218
8/6/2024 0:00,0.236,0.301,0.263
8/7/2024 0:00,0.217,0.291,0.249
8/8/2024 0:00,0.177,0.248,0.208
8/9/2024 0:00,0.204,0.299,0.247
8/10/2024 0:00,0.224,0.344,0.279
8/11/2024 0:00,0.168,0.259,0.206
8/12/2024 0:00,0.163,0.252,0.196
8/13/2024 0:00,0.189,0.293,0.223
8/14/2024 0:00,0.157,0.244,0.181
8/15/2024 0:00,0.229,0.357,0.26
8/16/2024 0:00,0.205,0.321,0.228
8/17/2024 0:00,0.189,0.297,0.206
8/18/2024 0:00,0.19,0.299,0.203
8/19/2024 0:00,0.201,0.294,0.203
8/20/2024 0:00,0.273,0.374,0.261
8/21/2024 0:00,0.284,0.362,0.258
8/22/2024 0:00,0.301,0.36,0.26
8/23/2024 0:00,0.347,0.389,0.286
8/24/2024 0:00,0.359,0.377,0.282
8/25/2024 0:00,0.218,0.216,0.164
8/26/2024 0:00,0.17,0.158,0.122
8/27/2024 0:00,0.239,0.228,0.181
8/28/2024 0:00,0.262,0.257,0.209
8/29/2024 0:00,0.197,0.199,0.167
8/30/2024 0:00,0.173,0.18,0.154
8/31/2024 0:00,0.183,0.196,0.173
9/1/2024 0:00,0.188,0.208,0.188
9/2/2024 0:00,0.171,0.196,0.181
9/3/2024 0:00,0.175,0.209,0.198
9/4/2024 0:00,0.149,0.184,0.171
9/5/2024 0:00,0.144,0.185,0.168
9/6/2024 0:00,0.137,0.182,0.162
9/7/2024 0:00,0.145,0.201,0.174
9/8/2024 0:00,0.154,0.223,0.189
9/9/2024 0:00,0.151,0.227,0.188
9/10/2024 0:00,0.142,0.224,0.182
9/11/2024 0:00,0.167,0.276,0.218
9/12/2024 0:00,0.101,0.153,0.123
9/13/2024 0:00,0.091,0.126,0.103
9/14/2024 0:00,0.142,0.181,0.152
9/15/2024 0:00,0.179,0.211,0.18
9/16/2024 0:00,0.186,0.204,0.177
9/17/2024 0:00,0.073,0.074,0.066
9/18/2024 0:00,0.106,0.101,0.091
9/19/2024 0:00,0.122,0.108,0.1
9/20/2024 0:00,0.14,0.125,0.116
9/21/2024 0:00,0.15,0.137,0.128
9/22/2024 0:00,0.121,0.112,0.105
9/23/2024 0:00,0.121,0.115,0.107
9/24/2024 0:00,0.112,0.108,0.101
9/25/2024 0:00,0.188,0.185,0.174
9/26/2024 0:00,0.172,0.172,0.163
9/27/2024 0:00,0.119,0.121,0.115
9/28/2024 0:00,0.169,0.185,0.173
9/29/2024 0:00,0.218,0.254,0.233
9/30/2024 0:00,0.113,0.14,0.127
10/1/2024 0:00,0.09,0.119,0.106
10/2/2024 0:00,0.124,0.174,0.154
10/3/2024 0:00,0.093,0.139,0.121
10/4/2024 0:00,0.154,0.244,0.211
10/5/2024 0:00,0.116,0.196,0.168
10/6/2024 0:00,0.102,0.169,0.147
10/7/2024 0:00,0.081,0.132,0.115
10/8/2024 0:00,0.086,0.137,0.121
10/9/2024 0:00,0.113,0.176,0.158
10/10/2024 0:00,0.13,0.199,0.18
10/11/2024 0:00,0.128,0.192,0.176
10/12/2024 0:00,0.111,0.164,0.152
10/13/2024 0:00,0.099,0.143,0.134
10/14/2024 0:00,0.088,0.127,0.111
