"Name","Description","Units","Min","Max"
"TIMESTAMP","ISO timestamp – short format","YYYYMMDDHHMM",NA,NA
"TIMESTAMP_END","ISO timestamp end of averaging period - short format (12-digit integer)","YYYYMMDDHHMM",NA,NA
"TIMESTAMP_START","ISO timestamp start of averaging period - short format (12-digit integer)","YYYYMMDDHHMM",NA,NA
"COND_WATER","Conductivity (i.e., electrical conductivity) of water","µS cm-1",0,10000
"DO","Dissolved oxygen in water","µmol L-1",0,NA
"PCH4","Dissolved methane (CH4) in water","nmolCH4 mol-1",0,NA
"PCO2","Dissolved carbon dioxide (CO2) in water","µmolCO2 mol-1",0,10000
"PN2O","Dissolved nitrous oxide (N2O) in water","nmolN2O mol-1",0,NA
"PPFD_UW_IN","Photosynthetic photon flux density, underwater, incoming","µmolPhotons m-2 s-1",0,2400
"TW","Water temperature","deg C",-20,50
"DBH","Diameter of tree measured at breast height (1.3m) with continuous dendrometers","cm",0,500
"LEAF_WET","Leaf wetness, range 0-100","%",0,100
"SAP_DT","Difference of probes temperature for sapflow measurements","deg C",-10,10
"SAP_FLOW","Sap flow","mmolH2O m-2 s-1",NA,NA
"T_BOLE","Bole temperature","deg C",-50,70
"T_CANOPY","Temperature of the canopy and/or surface underneath the sensor","deg C",-50,70
"FETCH_70","Distance at which cross-wind integrated footprint cumulative probability is 70%","m",0,10000
"FETCH_80","Distance at which cross-wind integrated footprint cumulative probability is 80%","m",0,12000
"FETCH_90","Distance at which cross-wind integrated footprint cumulative probability is 90%","m",0,15000
"FETCH_FILTER","Footprint quality flag (i.e., 0, 1): 0 and 1 indicate data measured when wind coming from direction that should be discarded and kept, respectively","nondimensional",0,1
"FETCH_MAX","Distance at which footprint contribution is maximum","m",0,5000
"CH4","Methane (CH4) mole fraction in wet air","nmolCH4 mol-1",0,15000
"CH4_MIXING_RATIO","Methane (CH4) in mole fraction of dry air","nmolCH4 mol-1",0,15000
"CO","Carbon Monoxide (CO) mole fraction in wet air","nmolCO mol-1",0,NA
"CO2","Carbon Dioxide (CO2) mole fraction in wet air","µmolCO2 mol-1",150,1200
"CO2_MIXING_RATIO","Carbon Dioxide (CO2) in mole fraction of dry air","µmolCO2 mol-1",150,1200
"CO2_SIGMA","Standard deviation of carbon dioxide mole fraction in wet air","µmolCO2 mol-1",0,150
"CO2C13","Stable isotopic composition of CO2 - C13 (i.e., d13C of CO2)","‰ (permil)",NA,-6
"FC","Carbon Dioxide (CO2) turbulent flux (no storage correction)","µmolCO2 m-2 s-1",-100,100
"FCH4","Methane (CH4) turbulent flux (no storage correction)","nmolCH4 m-2 s-1",-500,4000
"FN2O","Nitrous oxide (N2O) turbulent flux (no storage correction)","nmolN2O m-2 s-1",NA,NA
"FNO","Nitric oxide (NO) turbulent flux (no storage correction)","nmolNO m-2 s-1",NA,NA
"FNO2","Nitrogen dioxide (NO2) turbulent flux (no storage correction)","nmolNO2 m-2 s-1",NA,NA
"FO3","Ozone (O3) turbulent flux (no storage correction)","nmolO3 m-2 s-1",NA,NA
"H2O","Water (H2O) vapor in mole fraction of wet air","mmolH2O mol-1",0,100
"H2O_MIXING_RATIO","Water (H2O) vapor in mole fraction of dry air","mmolH2O mol-1",0,100
"H2O_SIGMA","Standard deviation of water vapor mole fraction","mmolH2O mol-1",0,15
"N2O","Nitrous Oxide (N2O) mole fraction in wet air","nmolN2O mol-1",0,NA
"N2O_MIXING_RATIO","Nitrous Oxide (N2O) in mole fraction of dry air","nmolN2O mol-1",0,NA
"NO","Nitric oxide (NO) mole fraction in wet air","nmolNO mol-1",0,NA
"NO2","Nitrogen dioxide (NO2) mole fraction in wet air","nmolNO2 mol-1",0,NA
"O3","Ozone (O3) mole fraction in wet air","nmolO3 mol-1",0,NA
"SC","Carbon Dioxide (CO2) storage flux","µmolCO2 m-2 s-1",-100,100
"SCH4","Methane (CH4) storage flux","nmolCH4 m-2 s-1",NA,NA
"SN2O","Nitrous oxide (N2O) storage flux","nmolN2O m-2 s-1",NA,NA
"SNO","Nitric oxide (NO) storage flux","nmolNO m-2 s-1",NA,NA
"SNO2","Nitrogen dioxide (NO2) storage flux","nmolNO2 m-2 s-1",NA,NA
"SO2","Sulfur Dioxide (SO2) mole fraction in wet air","nmolSO2 mol-1",0,NA
"SO3","Ozone (O3) storage flux","nmolO3 m-2 s-1",NA,NA
