Ux,Uy,Uz,CO2,H2O,T_SONIC
-1.451676,-0.1171344,-0.2662495,607.3513,7.521346,23.82889
-1.621312,-0.3683827,-0.03444878,607.6052,7.524221,23.78284
-1.982984,-0.5208207,-0.1068989,607.6556,7.503823,23.92853
-1.881826,-0.613461,-0.2414133,607.5884,7.480763,23.99786
-1.899965,-0.6807061,-0.08445287,607.3499,7.478708,23.94888
-1.964299,-0.5272504,-0.2223382,607.6859,7.552661,23.7308
-2.114641,-0.4278014,-0.1971115,607.5038,7.569514,23.71524
-1.833676,-0.2219667,-0.5128535,607.4949,7.543226,23.81714
-2.30061,-0.4834691,0.01633937,606.8804,7.50843,23.84012
-1.916963,-1.028626,-0.4369646,607.5722,7.56805,23.75717
-1.810425,-0.8364279,-0.3464932,607.7943,7.570465,23.75537
-1.969414,-0.512529,-0.1943009,607.6707,7.533194,23.85468
-1.884389,-0.6922847,-0.1407317,607.6117,7.538775,23.84726
-1.834989,-0.7264545,-0.293892,607.9077,7.612396,23.64465
-1.541547,-0.193722,-0.1702779,608.2809,7.645397,23.44211
-1.592746,0.01014077,-0.1300536,608.2066,7.636126,23.57196
-1.833897,-0.3140267,-0.1632127,607.8881,7.627878,23.53931
-1.783413,-0.320014,-0.275119,607.4219,7.657257,23.50336
-1.63999,-0.08613077,-0.2067463,607.699,7.663456,23.4826
-1.597286,-0.4885233,-0.2129605,607.6722,7.65521,23.49072
-1.658946,-0.5877202,-0.1227429,607.8027,7.680138,23.39276
-1.46408,-0.3886246,-0.08475754,608.0158,7.709682,23.336
-1.32044,-0.5327914,-0.03496324,607.9984,7.687625,23.41403
-1.480348,-0.5506551,-0.1086619,608.1427,7.719279,23.29147
-1.41284,-0.7179202,-0.2133964,608.3081,7.662369,23.59094
-1.516221,-0.5119678,-0.2424363,606.9198,7.449354,24.01245
-1.539962,-0.4092863,-0.2097173,607.1639,7.586648,23.68356
-1.581872,-0.5628213,0.04892228,607.6324,7.596839,23.48083
-1.683756,-0.6353964,-0.1412099,607.0782,7.508689,23.77759
-1.348891,-0.4285012,0.2673786,607.9966,7.731576,23.20911
-1.153444,-0.3473608,-0.01265151,607.7219,7.673002,23.34277
-1.861622,-0.4607267,-0.006202664,607.7475,7.588733,23.80283
-1.851292,-0.3701143,-0.3988824,608.4325,7.564614,23.83008
-2.08248,-0.5028071,-0.2987041,607.5594,7.545706,23.81793
-1.908379,-0.5370707,-0.273717,608.1052,7.561514,23.77606
-1.850837,-0.4347196,-0.3319966,607.8707,7.564381,23.74612
-1.546194,-0.5693701,-0.03217045,607.3732,7.489151,23.88956
-1.485156,-0.6682174,0.1390488,607.401,7.52619,23.81424
-1.59718,-0.667748,-0.07699493,607.3905,7.576572,23.72751
-1.717028,-0.528992,0.05840757,607.2554,7.563357,23.7554
-1.566105,-0.4321564,-0.1585715,607.4115,7.601566,23.61508
-1.274193,-0.3653053,-0.06724626,607.7876,7.622849,23.51459
-1.453476,-0.1850878,-0.247724,608.0085,7.676858,23.40753
-1.632289,-0.2719172,-0.06530153,608.2646,7.688444,23.41302
-1.598583,-0.145265,-0.09938378,608.4902,7.663221,23.47641
