date,gridMET_ETr,gridMET_ETo,gridMET_prcp
2021-08-26,9.4,6.5,2.1
2021-08-27,9.3,6.5,0.0
2021-08-28,8.700000000000001,6.2,0.0
2021-08-29,7.0,5.2,0.0
2021-08-30,8.4,6.0,0.0
2021-08-31,5.800000000000001,4.4,1.3
2021-09-01,3.0,2.3000000000000003,12.3
2021-09-02,4.800000000000001,3.9000000000000004,0.0
2021-09-03,5.300000000000001,4.3,0.0
2021-09-04,6.6000000000000005,5.0,0.0
2021-09-05,8.3,5.800000000000001,0.0
2021-09-06,7.2,5.2,0.0
2021-09-07,9.200000000000001,6.300000000000001,0.0
2021-09-08,6.2,4.6000000000000005,0.0
2021-09-09,6.4,4.7,0.0
2021-09-10,9.9,6.7,0.0
2021-09-11,8.9,6.1000000000000005,2.4000000000000004
2021-09-12,6.7,4.9,0.0
2021-09-13,8.5,5.9,0.0
2021-09-14,7.4,5.2,0.0
2021-09-15,7.5,5.300000000000001,0.0
2021-09-16,10.4,6.9,0.0
2021-09-17,8.3,5.7,0.0
2021-09-18,7.0,4.7,0.9
2021-09-19,9.0,6.1000000000000005,0.0
2021-09-20,7.6000000000000005,5.1000000000000005,0.0
2021-09-21,6.0,4.2,0.0
2021-09-22,4.6000000000000005,3.4000000000000004,0.0
2021-09-23,6.0,4.2,0.0
2021-09-24,6.1000000000000005,4.3,0.0
2021-09-25,5.300000000000001,3.9000000000000004,0.0
2021-09-26,5.300000000000001,3.9000000000000004,0.0
2021-09-27,6.6000000000000005,4.6000000000000005,0.0
2021-09-28,6.9,4.7,10.200000000000001
2021-09-29,3.9000000000000004,2.9000000000000004,2.0
2021-09-30,4.4,3.1,1.1
2021-10-01,3.4000000000000004,2.7,0.0
2021-10-02,3.5,2.9000000000000004,0.0
2021-10-03,3.7,2.9000000000000004,0.0
2021-10-04,5.1000000000000005,3.7,0.0
2021-10-05,4.4,3.1,3.7
2021-10-06,3.9000000000000004,3.0,0.0
2021-10-07,4.7,3.3000000000000003,0.0
2021-10-08,3.8000000000000003,2.6,5.800000000000001
2021-10-09,3.5,2.6,0.0
2021-10-10,3.9000000000000004,2.8000000000000003,0.0
2021-10-11,6.4,4.2,3.0
2021-10-12,3.2,2.2,8.6
2021-10-13,2.9000000000000004,2.0,0.0
2021-10-14,3.3000000000000003,2.2,0.0
2021-10-15,3.5,2.5,0.0
2021-10-16,2.9000000000000004,2.1,0.0
2021-10-17,3.5,2.5,0.0
2021-10-18,6.800000000000001,4.4,6.5
2021-10-19,3.3000000000000003,2.2,0.0
2021-10-20,2.6,1.9000000000000001,0.0
2021-10-21,2.3000000000000003,1.8,0.0
2021-10-22,3.4000000000000004,2.4000000000000004,0.0
2021-10-23,4.9,3.2,0.0
2021-10-24,4.1000000000000005,2.7,0.0
2021-10-25,7.6000000000000005,4.800000000000001,8.3
2021-10-26,3.6,2.4000000000000004,9.8
2021-10-27,3.0,2.1,0.0
2021-10-28,2.8000000000000003,2.0,0.0
2021-10-29,2.1,1.6,0.0
2021-10-30,2.1,1.6,0.0
2021-10-31,2.8000000000000003,2.0,0.0
2021-11-01,2.8000000000000003,2.0,0.0
2021-11-02,2.9000000000000004,2.0,0.0
2021-11-03,2.7,1.9000000000000001,0.0
2021-11-04,2.0,1.5,0.0
2021-11-05,2.1,1.5,0.0
2021-11-06,4.1000000000000005,2.7,0.0
2021-11-07,6.5,4.0,0.0
2021-11-08,3.5,2.3000000000000003,0.0
2021-11-09,3.7,2.4000000000000004,0.7000000000000001
2021-11-10,2.7,1.8,0.0
2021-11-11,2.6,1.8,0.0
2021-11-12,1.8,1.3,0.0
2021-11-13,1.9000000000000001,1.4000000000000001,0.0
2021-11-14,1.7000000000000002,1.3,0.0
2021-11-15,1.7000000000000002,1.3,0.0
2021-11-16,3.0,2.0,0.0
2021-11-17,3.0,1.9000000000000001,0.0
2021-11-18,1.7000000000000002,1.2000000000000002,0.0
2021-11-19,2.2,1.5,0.0
2021-11-20,1.9000000000000001,1.3,0.0
2021-11-21,2.2,1.4000000000000001,0.0
2021-11-22,1.0,0.8,0.0
2021-11-23,1.3,0.9,0.0
2021-11-24,2.5,1.6,0.0
2021-11-25,2.0,1.3,0.0
2021-11-26,0.9,0.7000000000000001,0.0
2021-11-27,1.3,0.9,0.0
2021-11-28,1.0,0.7000000000000001,0.0
