date,theta_1,t_dew,ws,rh,wd,sw_out,t_avg,H,vp,LE,sw_in,theta_mean,es,Rn,theta_2,vpd,lw_in,G,lw_out,t_min,t_max,Rn_subday_gaps,H_subday_gaps,G_subday_gaps,LE_subday_gaps,rso,flux,energy,H_corr,DOY,ebc_cf,ebr_5day_clim,LE_corr,ebr,flux_corr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,ETrF,ETrF_filtered,ET_fill,ET_gap,ET_fill_val
2024-01-22,,,,,,,,,,,,,,,,,,,,,,41.0,41.0,41.0,41.0,157.05403303588133,,,,22,1.3703946923870363,0.7297167783524756,,,,0.7297167783524756,,,0.9,0.7000000000000001,3.7,,,,False,
2024-01-23,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,158.35274074511182,,,,23,1.3702196961059274,0.729809973423921,,,,0.729809973423921,,,1.1,0.8,2.3000000000000003,,,,False,
2024-01-24,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,159.6859277472703,,,,24,1.3700447445123651,0.7299031684953664,,,,0.7299031684953664,,,1.7000000000000002,1.2000000000000002,0.0,,,,False,
2024-01-25,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,161.05315923908833,,,,25,1.3766152996370333,0.7264193564198117,,,,0.7264193564198117,,,1.1,0.8,5.6000000000000005,,,,False,
2024-01-26,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,162.4539842216844,,,,26,1.3952038737313952,0.7167411292555801,,,,0.7167411292555801,,,2.3000000000000003,1.6,0.0,,,,False,
2024-01-27,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,163.88793545428683,,,,27,1.414301326009614,0.7070629020913485,,,,0.7070629020913485,,,2.2,1.5,0.0,,,,False,
2024-01-28,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,165.35452943115462,,,,28,1.440226184711766,0.6943353832996245,,,,0.6943353832996245,,,2.8000000000000003,1.9000000000000001,0.0,,,,False,
2024-01-29,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,166.85326638254497,,,,29,1.4696847842950411,0.680418012546593,,,,0.680418012546593,,,3.2,2.1,0.0,,,,False,
2024-01-30,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,168.38363030048856,,,,30,1.5101596430252526,0.6621816472308406,,,,0.6621816472308406,,,2.4000000000000004,1.7000000000000002,0.0,,,,False,
2024-01-31,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,169.94508899004762,,,,31,1.5559950194269596,0.6426755789798602,,,,0.6426755789798602,,,2.1,1.5,0.0,,,,False,
2024-02-01,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,171.53709414664053,,,,32,1.59991193934715,0.6250344005858558,,,,0.6250344005858558,,,1.8,1.3,13.0,,,,False,
2024-02-02,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,173.15908145992583,,,,33,1.6455261231335887,0.6077083711656257,,,,0.6077083711656257,,,1.8,1.3,1.7000000000000002,,,,False,
2024-02-03,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,174.8104707446482,,,,34,1.6895262596961855,0.5918818924896866,,,,0.5918818924896866,,,2.2,1.5,0.0,,,,False,
2024-02-04,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,176.490666098758,,,,35,1.734273302534543,0.5766103869203062,,,,0.5766103869203062,,,1.5,1.1,0.0,,,,False,
2024-02-05,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,178.1990560890219,,,,36,1.771915759450723,0.5643609153913673,,,,0.5643609153913673,,,1.8,1.3,0.0,,,,False,
2024-02-06,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,179.9350139642556,,,,37,1.792371533678336,0.5579200412471307,,,,0.5579200412471307,,,1.7000000000000002,1.2000000000000002,15.700000000000001,,,,False,
2024-02-07,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,181.6978978962154,,,,38,1.8293675288024762,0.5466370121123834,,,,0.5466370121123834,,,1.8,1.3,2.1,,,,False,
2024-02-08,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,183.4870512480983,,,,39,1.8604264792918812,0.5375111626989,,,,0.5375111626989,,,1.0,0.8,6.0,,,,False,
2024-02-09,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,185.30180287051263,,,,40,1.8862385423057129,0.530155639157714,,,,0.530155639157714,,,1.2000000000000002,1.0,0.9,,,,False,
2024-02-10,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,187.14146742469265,,,,41,1.903298899010758,0.5254035509187502,,,,0.5254035509187502,,,1.4000000000000001,1.0,0.0,,,,False,
2024-02-11,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,189.00534573264807,,,,42,1.918321806709499,0.5212889706525841,,,,0.5212889706525841,,,1.6,1.2000000000000002,0.4,,,,False,
2024-02-12,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,190.8927251538561,,,,43,1.9305978384395486,0.5179742668769761,,,,0.5179742668769761,,,1.6,1.2000000000000002,0.0,,,,False,
2024-02-13,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,192.8028799880203,,,,44,1.9336364136575903,0.5171603063206901,,,,0.5171603063206901,,,1.5,1.3,0.0,,,,False,
2024-02-14,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,194.73507190334612,,,,45,1.932495827731136,0.5174655415292974,,,,0.5174655415292974,,,2.4000000000000004,1.8,0.0,,,,False,
2024-02-15,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,196.68855038970355,,,,46,1.9382122530183805,0.5159393654862612,,,,0.5159393654862612,,,2.6,1.8,0.0,,,,False,
2024-02-16,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,198.6625532359747,,,,47,1.9382122530183805,0.5159393654862612,,,,0.5159393654862612,,,2.3000000000000003,1.7000000000000002,0.0,,,,False,
2024-02-17,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,200.65630703081396,,,,48,1.9382122530183805,0.5159393654862612,,,,0.5159393654862612,,,2.3000000000000003,1.7000000000000002,0.0,,,,False,
2024-02-18,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,202.66902768597944,,,,49,1.9382122530183805,0.5159393654862612,,,,0.5159393654862612,,,2.6,1.9000000000000001,0.0,,,,False,
2024-02-19,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,204.6999209813295,,,,50,1.9382122530183805,0.5159393654862612,,,,0.5159393654862612,,,2.8000000000000003,2.0,0.0,,,,False,
2024-02-20,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,206.74818313051668,,,,51,,,,,,,,,2.6,1.9000000000000001,0.9,,,,False,
2024-02-21,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,208.81300136635127,,,,52,,,,,,,,,2.9000000000000004,2.0,0.0,,,,False,
2024-02-22,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,210.89355454475316,,,,53,,,,,,,,,2.8000000000000003,2.0,0.0,,,,False,
2024-02-23,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,212.98901376615498,,,,54,,,,,,,,,3.1,2.2,0.0,,,,False,
2024-02-24,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,215.09854301317603,,,,55,,,,,,,,,3.2,2.3000000000000003,0.0,,,,False,
2024-02-25,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,217.22129980333432,,,,56,,,,,,,,,5.4,3.6,0.0,,,,False,
2024-02-26,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,219.35643585552793,,,,57,,,,,,,,,3.5,2.4000000000000004,0.0,,,,False,
2024-02-27,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,221.50309776897757,,,,58,,,,,,,,,4.3,2.8000000000000003,0.0,,,,False,
2024-02-28,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,223.66042771328375,,,,59,,,,,,,,,3.9000000000000004,2.7,0.0,,,,False,
2024-02-29,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,225.82756412822798,,,,60,,,,,,,,,4.800000000000001,3.3000000000000003,0.0,,,,False,
2024-03-01,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,228.00364243191473,,,,61,,,,,,,,,6.1000000000000005,4.0,0.0,,,,False,
2024-03-02,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,230.1877957358306,,,,62,,,,,,,,,5.2,3.3000000000000003,3.9000000000000004,,,,False,
2024-03-03,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,232.37915556537794,,,,63,,,,,,,,,3.7,2.5,0.4,,,,False,
2024-03-04,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,234.5768525844234,,,,64,,,,,,,,,4.0,2.8000000000000003,0.0,,,,False,
2024-03-05,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,236.78001732239204,,,,65,,,,,,,,,3.1,2.4000000000000004,0.0,,,,False,
2024-03-06,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,238.9877809024295,,,,66,,,,,,,,,3.8000000000000003,2.7,0.0,,,,False,
2024-03-07,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,241.19927576915083,,,,67,,,,,,,,,2.8000000000000003,2.2,0.0,,,,False,
2024-03-08,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,243.4136364144954,,,,68,,,,,,,,,3.8000000000000003,2.7,0.0,,,,False,
2024-03-09,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,245.63000010021278,,,,69,,,,,,,,,3.2,2.4000000000000004,0.0,,,,False,
2024-03-10,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,247.8475075755096,,,,70,,,,,,,,,3.8000000000000003,2.8000000000000003,0.0,,,,False,
2024-03-11,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,250.0653037884036,,,,71,,,,,,,,,5.4,3.6,0.0,,,,False,
2024-03-12,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,252.2825385893434,,,,72,,,,,,,,,4.1000000000000005,2.9000000000000004,1.2000000000000002,,,,False,
2024-03-13,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,254.49836742567572,,,,73,,,,,,,,,4.0,2.8000000000000003,0.0,,,,False,
2024-03-14,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,256.71195202556254,,,,74,,,,,,,,,4.1000000000000005,2.9000000000000004,1.6,,,,False,
2024-03-15,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,258.92246106997953,,,,75,,,,,,,,,1.4000000000000001,1.1,21.700000000000003,,,,False,
2024-03-16,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,261.1290708514577,,,,76,,,,,,,,,2.6,2.1,2.5,,,,False,
2024-03-17,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,263.33096591826603,,,,77,,,,,,,,,3.3000000000000003,2.4000000000000004,2.1,,,,False,
2024-03-18,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,265.52733970276734,,,,78,,,,,,,,,4.5,3.3000000000000003,0.0,,,,False,
2024-03-19,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,267.7173951327259,,,,79,,,,,,,,,4.5,3.3000000000000003,0.0,,,,False,
2024-03-20,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,269.90034522438606,,,,80,,,,,,,,,4.6000000000000005,3.4000000000000004,0.0,,,,False,
2024-03-21,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,272.075413656191,,,,81,,,,,,,,,5.5,4.0,0.0,,,,False,
2024-03-22,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,274.24183532206104,,,,82,,,,,,,,,5.2,3.8000000000000003,0.0,,,,False,
2024-03-23,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,276.39885686320486,,,,83,,,,,,,,,5.7,3.9000000000000004,1.1,,,,False,
2024-03-24,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,278.5457371774934,,,,84,,,,,,,,,4.2,3.0,0.4,,,,False,
2024-03-25,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,280.68174790548596,,,,85,,,,,,,,,3.9000000000000004,2.8000000000000003,0.0,,,,False,
2024-03-26,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,282.8061738922583,,,,86,,,,,,,,,4.1000000000000005,3.0,0.5,,,,False,
2024-03-27,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,284.9183136242479,,,,87,,,,,,,,,4.4,3.3000000000000003,0.0,,,,False,
2024-03-28,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,287.01747964039737,,,,88,,,,,,,,,6.800000000000001,4.7,0.0,,,,False,
2024-03-29,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,289.1029989169419,,,,89,,,,,,,,,6.1000000000000005,4.2,0.5,,,,False,
2024-03-30,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,291.1742132252634,,,,90,,,,,,,,,6.1000000000000005,4.1000000000000005,1.3,,,,False,
2024-03-31,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,293.2304794622945,,,,91,,,,,,,,,4.2,2.9000000000000004,0.4,,,,False,
2024-04-01,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,295.2711699530403,,,,92,,,,,,,,,3.9000000000000004,3.0,0.6000000000000001,,,,False,
2024-04-02,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,297.2956727248466,,,,93,,,,,,,,,5.7,4.1000000000000005,0.0,,,,False,
2024-04-03,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,299.3033917531288,,,,94,,,,,,,,,5.2,4.0,0.0,,,,False,
2024-04-04,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,301.2937471783446,,,,95,,,,,,,,,9.1,6.1000000000000005,0.0,,,,False,
2024-04-05,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,303.26617549406916,,,,96,,,,,,,,,5.9,3.9000000000000004,0.4,,,,False,
2024-04-06,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,305.22012970611047,,,,97,,,,,,,,,4.7,3.3000000000000003,0.30000000000000004,,,,False,
2024-04-07,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,307.15507946267473,,,,98,,,,,,,,,3.7,3.0,0.0,,,,False,
2024-04-08,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,309.0705111556701,,,,99,,,,,,,,,5.800000000000001,4.0,0.0,,,,False,
2024-04-09,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,310.96592799330955,,,,100,,,,,,,,,6.5,4.6000000000000005,0.0,,,,False,
2024-04-10,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,312.8408500442493,,,,101,,,,,,,,,6.5,4.7,0.0,,,,False,
2024-04-11,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,314.69481425357236,,,,102,,,,,,,,,5.5,4.3,0.0,,,,False,
2024-04-12,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,316.52737443099767,,,,103,,,,,,,,,8.9,6.1000000000000005,0.0,,,,False,
2024-04-13,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,318.33810121176805,,,,104,,,,,,,,,7.5,5.4,0.0,,,,False,
2024-04-14,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,320.12658199073775,,,,105,,,,,,,,,8.4,5.800000000000001,0.0,,,,False,
2024-04-15,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,321.89242083024607,,,,106,,,,,,,,,5.5,3.9000000000000004,0.0,,,,False,
2024-04-16,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,323.6352383424326,,,,107,,,,,,,,,5.800000000000001,4.5,0.0,,,,False,
2024-04-17,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,325.35467154670783,,,,108,,,,,,,,,8.700000000000001,6.1000000000000005,0.0,,,,False,
2024-04-18,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,327.05037370315506,,,,109,,,,,,,,,8.200000000000001,5.800000000000001,0.0,,,,False,
2024-04-19,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,328.72201412269817,,,,110,,,,,,,,,7.9,5.6000000000000005,0.0,,,,False,
2024-04-20,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,330.3692779549204,,,,111,,,,,,,,,7.6000000000000005,5.5,0.0,,,,False,
2024-04-21,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,331.9918659544737,,,,112,,,,,,,,,6.7,5.1000000000000005,0.0,,,,False,
2024-04-22,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,333.5894942270656,,,,113,,,,,,,,,8.700000000000001,6.300000000000001,0.0,,,,False,
2024-04-23,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,335.1618939560528,,,,114,,,,,,,,,9.0,6.4,0.0,,,,False,
2024-04-24,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,336.70881111071304,,,,115,,,,,,,,,9.5,6.6000000000000005,0.30000000000000004,,,,False,
2024-04-25,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,338.2300061373037,,,,116,,,,,,,,,7.2,5.2,1.1,,,,False,
2024-04-26,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,339.72525363404594,,,,117,,,,,,,,,5.1000000000000005,3.7,3.8000000000000003,,,,False,
2024-04-27,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,341.19434201120504,,,,118,,,,,,,,,3.8000000000000003,2.9000000000000004,1.8,,,,False,
2024-04-28,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,342.63707313745914,,,,119,,,,,,,,,5.300000000000001,4.2,0.0,,,,False,
2024-04-29,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,344.05326197376786,,,,120,,,,,,,,,7.4,5.5,0.0,,,,False,
2024-04-30,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,345.44273619597226,,,,121,,,,,,,,,8.3,6.0,0.0,,,,False,
2024-05-01,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,346.80533580736204,,,,122,,,,,,,,,8.0,5.800000000000001,0.0,,,,False,
2024-05-02,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,348.14091274245635,,,,123,,,,,,,,,7.800000000000001,5.7,0.0,,,,False,
2024-05-03,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,349.4493304632458,,,,124,,,,,,,,,8.700000000000001,6.2,0.0,,,,False,
2024-05-04,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,350.7304635491369,,,,125,,,,,,,,,9.3,6.6000000000000005,0.0,,,,False,
2024-05-05,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,351.98419728183694,,,,126,,,,,,,,,7.4,4.9,0.0,,,,False,
2024-05-06,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,353.21042722640016,,,,127,,,,,,,,,7.4,5.300000000000001,0.0,,,,False,
2024-05-07,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,354.40905880964465,,,,128,,,,,,,,,8.3,5.800000000000001,0.0,,,,False,
2024-05-08,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,355.58000689711974,,,,129,,,,,,,,,5.9,4.5,0.0,,,,False,
2024-05-09,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,356.723195369786,,,,130,,,,,,,,,6.1000000000000005,4.5,0.5,,,,False,
2024-05-10,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,357.83855670153497,,,,131,,,,,,,,,6.0,4.6000000000000005,0.0,,,,False,
2024-05-11,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,358.92603153864064,,,,132,,,,,,,,,5.9,4.6000000000000005,1.1,,,,False,
